Item	Name	Parameter	Units	Comment	Scenarios:	Baseline1	Baseline2	Baseline2_reversed	OldBaseline		Only_dCAS_1	Only_dCAS_2		Both_0	Both_1	Both_2	Both_3	Both_4		Both_5	Both_6		Both_7	Both_8	VaryB_9a	VaryB_9b	VaryB_9c	Actually	Actually2	Actually3
					Description:			Sanity check CAS<->dCAS	May 13					Strong effect	Reasonable values 1	Reasonable values 2	"Reasonable values, change ""CAS with Ran"""	Replenish NLS		Draft	More NPC		From equilibrium	Reduce ImpB		Reduce ImpB	Increase ImpB	Just a test		No CAS
																														
																														
				Initial values																										
Species	CAS(c)	Value	uM			1	1	0	1		0	0		0.5	0.5	0.5	0.5	0.5		1	1		0.5	0.5	1	1	1	1	1	0
Species	CAS(n)	Value	uM																				0.5	0.5						
Species	ΔCAS(c)	Value	uM			0	0	1	0		1	1		0.5	0.5	0.5	0.5	0.5		2	2		1	1				0	0	0
Species	ΔCAS(n)	Value	uM																				1	1				0	0	0
																														
Species	Ran·GTP(n)	Value	uM			3	3	3	3		3	3		3	3	3	3	3		3	3		3	3	3	3	3	3	3	3
Species	NPC	Value	uM			0.5	0.5	0.5	1		0.5	0.5		0.5	0.5	0.5	0.5	0.5		0.5	2		2	2	2	2	2	2	2	2
																														
Species	ImpB(c)	Value	uM																	2	2		1	0.05	1	0.05	10	3	3	3
Species	ImpB(n)	Value	uM																				1	0.05						
Species	ImpA(c)	Value	uM																				0.5	0.5	0.5	0.5	0.5	0.5	2	2
Species	ImpA(n)	Value	uM																				0.5	0.5	0.5	0.5	0.5	0.5	2	2
																														
				Kinetic constants																										
Reaction	hydrolysis of Ran·GTP·ImpB·NPC	kf	1/s			0.1	0.1	0.1	0.1		0.1	0.1		0.1	0.1	0.1	0.1	0.1		0.1	0.1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
																														
Reaction	hydrolysis of ImpA·CAS·Ran·GTP·NPC	kf	1/s			0.1	0.1		0.1					0.1	0.1	0.1	1e-3	1e-3		1e-3	1e-3		1e-2	1e-2	1e-2	1e-2	1e-2	1e-2	1e-2	1e-2
Reaction	hydrolysis of ImpA·ΔCAS·Ran·GTP·NPC	kf	1/s					0.1			0.1	0.1		0.1	0.1	0.1	1e-2	1e-2		1e-3	1e-3		1e-2	1e-2						
																														
Reaction	CAS with Ran	kf	1/uM/s			0.01	0.01		0.01					0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Reaction	CAS with Ran	kr	1/s			0.015	0.015		0.0048					0.015	0.015	0.015	0.015	0.015		0.015	0.015		0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015
Reaction	ΔCAS with Ran	kf	1/uM/s	(Unknown)				0.01			0.01	0.01		0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.01	0.01						
Reaction	ΔCAS with Ran	kr	1/s					0.015			0.015	0.015		0.015	0.015	0.015	1	1		0.015	0.015		0.015	0.015						
																														
Reaction	CAS with NPC	kf	1/uM/s			1e-3	1e-2		1e-3					1e-2	1e-3	1e-2	1e-2	1e-2		1e-3	1e-3		1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3
Reaction	CAS with NPC	kr	1/s			1e-4	1e-3		1e-3					1e-3	1e-4	1e-3	1e-3	1e-3		1e-4	1e-4		1e-4	1e-4	1e-4	1e-4	1e-4	1e-4	1e-4	1e-4
Reaction	ΔCAS with NPC	kf	1/uM/s					1e-2			1e-2	1e-1		1e-1	1e-2	1e-1	1e-2	1e-2		1e-2	1e-2		1e-2	1e-2						
Reaction	ΔCAS with NPC	kr	1/s					1e-3			1e-3	1e-2		1e-2	1e-3	1e-2	1e-3	1e-3		1e-3	1e-3		1e-3	1e-3						
																														
Reaction	CAS·Ran with ImpA	kf	1/uM/s			0.1	0.1		0.1					0.1	0.1	0.1	0.1	0.1		0.1	0.1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Reaction	ΔCAS·Ran with ImpA	kf	1/uM/s					0.1			0.1	0.1		0.1	0.1	0.1	0.1	0.1		0.1	0.1		0.1	0.1						
																														
Reaction	Complex CAS with NPC	kf	1/uM/s	i.e. ImpA·CAS·Ran·GTP		1e-3	1e-2		1e-3					1e-2	1e-3	1e-2	1e-2	1e-2		1e-3	1e-3		1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3
Reaction	Complex CAS with NPC	kr	1/s			1e-5	1e-4		1e-4					1e-4	1e-5	1e-4	1e-4	1e-4		1e-5	1e-5		1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5
Reaction	Complex ΔCAS with NPC	kf	1/uM/s	i.e. ImpA·ΔCAS·Ran·GTP				1e-2			1e-3	1e-3		1e-2	1e-3	1e-3	1e-2	1e-2		1e-2	1e-2		1e-2	1e-2						
Reaction	Complex ΔCAS with NPC	kr	1/s					1e-4			1e-5	1e-5		1e-4	1e-5	1e-5	1e-4	1e-4		1e-4	1e-4		1e-4	1e-4						
																														
Reaction	Replenish NLS	kf	1/s															1e-2		1e-4	1e-4		1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3	1e-3
																														
Reaction	Ran gradient	k_pump	1/s																											
																														
	For uploaded results, see:																													
	https://numpde.github.io/nct1/code/20210413-AlphaBeta/checkpoint/																													
